time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-14T00:00:34.910Z,19.1849994659424,-155.471664428711,31.2800006866455,2.0999999,md,43,96,,0.140000001,hv,hv72871467,2022-01-14T00:05:34.960Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.58,0.879999995,1.45000005,17,automatic,hv,hv
2022-01-13T23:46:51.810Z,38.8328323,-122.8156662,1.42,0.85,md,13,54,0.01039,0.01,nc,nc73678131,2022-01-14T00:02:10.600Z,"8km NW of The Geysers, CA",earthquake,0.27,0.69,,1,automatic,nc,nc
2022-01-13T23:45:47.910Z,38.8320007,-122.8201675,1.27,0.87,md,17,54,0.01166,0.01,nc,nc73678126,2022-01-13T23:57:10.572Z,"8km NW of The Geysers, CA",earthquake,0.23,0.42,0.3,4,automatic,nc,nc
2022-01-13T23:45:26.724Z,54.5516,-163.3849,15.32,3.7,mb,,165,0.306,0.89,us,us7000gbs8,2022-01-14T00:23:20.040Z,"33 km S of False Pass, Alaska",earthquake,3.4,7.2,0.225,5,reviewed,us,us
2022-01-13T23:39:50.093Z,38.4193,-119.3906,12.2,1.4,ml,10,208.66,0.08,0.1038,nn,nn00831715,2022-01-14T00:47:50.915Z,"13 km SE of Walker, California",earthquake,,7.3,0,1,reviewed,nn,nn
2022-01-13T23:25:00.751Z,38.3959,-119.3819,12.8,0.3,ml,9,122.67,0.066,0.091,nn,nn00831720,2022-01-14T01:27:57.429Z,"15 km SSE of Walker, California",earthquake,,2.3,0,1,reviewed,nn,nn
2022-01-13T23:24:08.275Z,-27.4037,-70.6025,87.7,4.1,mb,,112,0.225,1.06,us,us7000gbs3,2022-01-14T00:14:47.040Z,"27 km W of Copiapó, Chile",earthquake,5.2,4.8,0.302,3,reviewed,us,us
2022-01-13T23:20:15.690Z,34.0618333,-117.2476667,14.17,1.14,ml,27,79,0.05236,0.13,ci,ci39911887,2022-01-13T23:52:40.381Z,"2km NE of Loma Linda, CA",earthquake,0.23,0.48,0.126,17,reviewed,ci,ci
2022-01-13T23:13:14.299Z,38.327,-119.3766,12.5,1.5,ml,16,189.27,0.055,0.1343,nn,nn00831707,2022-01-14T00:23:04.888Z,"14 km WNW of Bridgeport, California",earthquake,,2,0.14,5,reviewed,nn,nn
2022-01-13T23:10:03.020Z,19.407,-155.271833333333,11.48,1.76,md,22,128,,0.1,hv,hv72871402,2022-01-14T00:10:59.700Z,"5 km SW of Volcano, Hawaii",earthquake,0.4,0.61,0.0497295735602077,7,reviewed,hv,hv
2022-01-13T23:07:57.870Z,38.7841682,-122.7229996,1.63,1.25,md,10,81,0.01077,0.02,nc,nc73678121,2022-01-14T00:34:10.836Z,"3km WNW of Anderson Springs, CA",earthquake,0.28,0.8,0.04,5,automatic,nc,nc
2022-01-13T23:01:22.160Z,33.3865,-116.8721667,5.61,0.59,ml,20,70,0.03376,0.18,ci,ci39911879,2022-01-13T23:47:13.641Z,"4km NNW of Palomar Observatory, CA",earthquake,0.3,0.72,0.082,10,reviewed,ci,ci
2022-01-13T22:35:27.830Z,38.8291664,-122.8146667,2.18,0.85,md,11,83,0.006788,0.01,nc,nc73678116,2022-01-13T22:54:11.186Z,"8km NW of The Geysers, CA",earthquake,0.33,1.01,,1,automatic,nc,nc
2022-01-13T22:32:05.220Z,38.831501,-122.815834,1.77,0.85,md,8,105,0.009261,0.01,nc,nc73678111,2022-01-13T22:48:11.148Z,"8km NW of The Geysers, CA",earthquake,0.43,0.99,,1,automatic,nc,nc
2022-01-13T22:31:13.790Z,38.7728348,-122.7278366,0.34,0.87,md,6,73,0.01146,0,nc,nc73678106,2022-01-13T22:44:10.990Z,"2km ESE of The Geysers, CA",earthquake,1.39,2.51,,1,automatic,nc,nc
2022-01-13T22:26:34.173Z,38.1802,-117.8873,8.8,1.2,ml,13,165.99,0.07,0.1555,nn,nn00831702,2022-01-14T00:10:38.350Z,"30 km SE of Mina, Nevada",earthquake,,2.1,0.44,4,reviewed,nn,nn
2022-01-13T22:22:51.408Z,61.5863,-146.3743,18.3,1.9,ml,,,,0.83,ak,ak022lv7vg4,2022-01-13T22:27:41.119Z,"49 km SSE of Nelchina, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-01-13T22:19:32.134Z,38.1674,-117.8949,9,0.9,ml,13,159.22,0.058,0.1423,nn,nn00831701,2022-01-13T23:55:09.861Z,"31 km SE of Mina, Nevada",earthquake,,1.9,0.78,3,reviewed,nn,nn
